,0
0,1
1,0
2,3
3,2
4,3
5,1
6,3
7,0
8,0
9,4
10,3
11,1
12,0
13,4
14,3
15,3
16,2
17,2
18,2
19,2
20,3
21,1
22,2
23,0
24,4
25,0
26,2
27,0
28,0
29,0
30,0
31,3
32,1
33,4
34,2
35,2
36,0
37,4
38,1
39,4
40,4
41,2
42,2
43,4
44,4
45,4
46,4
47,0
48,0
49,3
50,2
51,0
52,4
53,3
54,4
55,2
56,2
57,2
58,0
59,2
60,1
61,0
62,2
63,1
64,3
65,2
66,4
67,2
68,2
69,3
70,0
71,1
72,1
73,4
74,3
75,2
76,0
77,3
78,1
79,0
80,1
81,2
82,2
83,0
84,4
85,4
86,4
87,3
88,2
89,0
90,4
91,1
92,1
93,4
94,3
95,4
96,0
97,1
98,1
99,2
100,0
101,1
102,0
103,3
104,3
105,3
106,4
107,4
108,4
109,1
110,1
111,1
112,4
113,4
114,0
115,3
116,2
117,4
118,1
119,1
120,2
121,3
122,2
123,1
124,0
125,1
126,2
127,4
128,3
129,4
130,3
131,3
132,2
133,2
134,0
135,2
136,4
137,0
138,2
139,4
140,1
141,0
142,2
143,1
144,2
145,1
146,3
147,2
148,0
149,3
150,3
151,1
152,3
153,1
154,2
155,4
156,4
157,3
158,1
159,0
160,4
161,0
162,3
163,0
164,2
165,3
166,3
167,0
168,0
169,1
170,1
171,2
172,1
173,2
174,0
175,3
176,1
177,0
178,1
179,1
180,2
181,4
182,4
183,0
184,3
185,1
186,3
187,3
188,3
189,4
190,4
191,2
192,0
193,3
194,3
195,4
196,3
197,0
198,1
199,1
200,2
201,4
202,0
203,4
204,1
205,4
206,0
207,4
208,2
209,0
210,2
211,2
212,3
213,1
214,1
215,3
216,3
217,4
218,2
219,0
220,0
221,1
222,2
223,3
224,0
225,4
226,0
227,0
228,1
229,1
230,0
231,3
232,1
233,4
234,3
235,1
236,1
237,2
238,1
239,3
240,1
241,1
242,2
243,2
244,2
245,3
246,4
247,1
248,2
249,3
250,2
251,3
252,2
253,2
254,4
255,4
256,4
257,1
258,3
259,1
260,0
261,2
262,0
263,3
264,3
265,0
266,2
267,2
268,0
269,0
270,1
271,4
272,1
273,0
274,3
275,0
276,2
277,2
278,4
279,1
280,0
281,3
282,0
283,3
284,1
285,1
286,3
287,0
288,3
289,4
290,1
291,4
292,0
293,0
294,4
295,0
296,2
297,1
298,2
299,0
300,2
301,0
302,4
303,4
304,3
305,4
306,4
307,2
308,4
309,0
310,4
311,4
312,3
313,0
314,2
315,2
316,2
317,3
318,3
319,1
320,0
321,2
322,1
323,2
324,0
325,2
326,1
327,4
328,4
329,0
330,0
331,4
332,2
333,4
334,0
335,1
336,3
337,0
338,3
339,2
340,3
341,1
342,4
343,3
344,3
345,4
346,3
347,4
348,3
349,2
350,2
351,4
352,1
353,1
354,3
355,2
356,1
357,1
358,3
359,1
360,0
361,0
362,3
363,3
364,1
365,4
366,1
367,2
368,4
369,4
370,0
371,2
372,3
373,1
374,2
375,3
376,4
377,3
378,2
379,1
380,1
381,0
382,1
383,1
384,2
385,3
386,0
387,0
388,1
389,0
390,2
391,2
392,3
393,1
394,4
395,3
396,4
397,3
398,2
399,4
400,2
401,3
402,4
403,0
404,4
405,3
406,0
407,4
408,4
409,1
410,1
411,3
412,1
413,4
414,2
415,4
416,2
417,0
418,2
419,4
420,3
421,2
422,1
423,2
424,4
425,2
426,0
427,4
428,4
429,2
430,3
431,1
432,1
433,2
434,3
435,3
436,2
437,3
438,2
439,2
440,3
441,0
442,4
443,4
444,4
445,4
446,0
447,1
448,1
449,3
450,2
451,1
452,3
453,1
454,3
455,0
456,4
457,4
458,0
459,1
460,4
461,4
462,4
463,2
464,4
465,1
466,1
467,2
468,2
469,0
470,0
471,4
472,0
473,0
474,3
475,2
476,2
477,2
478,1
479,1
480,2
481,2
482,4
483,3
484,2
485,4
486,1
487,4
488,0
489,1
490,0
491,1
492,2
493,4
494,1
495,3
496,0
497,2
498,0
499,4
500,0
501,3
502,4
503,1
504,2
505,2
506,0
507,0
508,2
509,2
510,1
511,2
512,0
513,4
514,3
515,0
516,2
517,2
518,2
519,1
520,3
521,4
522,2
523,0
524,3
525,4
526,1
527,3
528,3
529,0
530,2
531,1
532,0
533,0
534,1
535,4
536,0
537,2
538,2
539,4
540,4
541,0
542,1
543,1
544,3
545,2
546,4
547,0
548,0
549,1
550,2
551,0
552,4
553,2
554,2
555,2
556,0
557,4
558,0
559,2
560,4
561,2
562,0
563,0
564,1
565,2
566,3
567,1
568,2
569,0
570,4
571,2
572,0
573,3
574,1
575,0
576,0
577,1
578,2
579,4
580,1
581,4
582,1
583,2
584,0
585,4
586,2
587,4
588,4
589,4
590,1
591,3
592,0
593,0
594,1
595,4
596,1
597,1
598,3
599,4
600,1
601,0
602,4
603,1
604,0
605,3
606,2
607,0
608,2
609,0
610,1
611,4
612,0
613,4
614,2
615,1
616,2
617,2
618,2
619,1
620,1
621,0
622,0
623,1
624,4
625,0
626,3
627,2
628,0
629,2
630,2
631,1
632,1
633,1
634,2
635,1
636,0
637,4
638,3
639,1
640,0
641,3
642,2
643,3
644,0
645,1
646,4
647,4
648,2
649,1
650,4
651,3
652,2
653,4
654,4
655,2
656,4
657,0
658,0
659,0
660,2
661,3
662,4
663,1
664,4
665,0
666,2
667,1
668,0
669,2
670,4
671,0
672,4
673,4
674,1
675,3
676,4
677,4
678,4
679,2
680,3
681,2
682,0
683,0
684,0
685,2
686,3
687,4
688,2
689,2
690,3
691,2
692,2
693,3
694,3
695,0
696,1
697,2
698,0
699,1
700,2
701,4
702,4
703,4
704,3
705,0
706,2
707,3
708,2
709,4
710,3
711,3
712,3
713,4
714,2
715,2
716,3
717,3
718,0
719,0
720,4
721,4
722,4
723,2
724,3
725,0
726,1
727,3
728,1
729,1
730,1
731,4
732,1
733,1
734,0
735,3
736,4
737,4
738,0
739,1
740,1
741,0
742,1
743,2
744,2
745,4
746,1
747,3
748,0
749,3
750,4
751,0
752,1
753,0
754,4
755,2
756,4
757,3
758,2
759,2
760,0
761,2
762,3
763,1
764,1
765,1
766,0
767,3
768,1
769,3
770,3
771,1
772,1
773,2
774,0
775,2
776,4
777,2
778,2
779,1
780,2
781,2
782,3
783,2
784,4
785,0
786,1
787,2
788,3
789,1
790,0
791,2
792,2
793,0
794,4
795,2
796,2
797,0
798,2
799,2
800,2
801,4
802,4
803,1
804,2
805,0
806,4
807,2
808,2
809,3
810,1
811,3
812,1
813,4
814,4
815,1
816,1
817,4
818,4
819,4
820,3
821,3
822,4
823,3
824,2
825,0
826,2
827,0
828,4
829,2
830,3
831,2
832,2
833,2
834,4
835,0
836,3
837,0
838,1
839,0
840,2
841,1
842,1
843,0
844,1
845,4
846,3
847,4
848,3
849,3
850,2
851,0
852,1
853,3
854,0
855,0
856,4
857,3
858,1
859,4
860,3
861,2
862,1
863,1
864,0
865,3
866,3
867,0
868,0
869,2
870,0
871,2
872,1
873,2
874,4
875,0
876,1
877,0
878,3
879,4
880,4
881,0
882,1
883,2
884,4
885,1
886,2
887,1
888,4
889,2
890,1
891,0
892,0
893,0
894,0
895,2
896,0
897,4
898,0
899,2
900,2
901,1
902,2
903,1
904,3
905,3
906,0
907,4
908,3
909,4
910,2
911,1
912,1
913,2
914,0
915,2
916,4
917,0
918,2
919,2
920,2
921,4
922,4
923,2
924,3
925,3
926,3
927,3
928,3
929,2
930,4
931,2
932,4
933,4
934,1
935,3
936,0
937,4
938,4
939,3
940,4
941,0
942,4
943,3
944,2
945,4
946,1
947,3
948,3
949,3
950,1
951,2
952,1
953,3
954,2
955,2
956,0
957,0
958,0
959,3
960,0
961,0
962,3
963,0
964,0
965,4
966,3
967,4
968,4
969,1
970,1
971,3
972,0
973,0
974,1
975,1
976,4
977,2
978,4
979,3
980,3
981,3
982,0
983,3
984,0
985,4
986,4
987,0
988,3
989,1
990,2
991,1
992,0
993,1
994,4
995,4
996,2
997,4
998,0
999,2
1000,2
1001,1
1002,1
1003,2
1004,3
1005,4
1006,4
1007,3
1008,4
1009,4
1010,0
1011,4
1012,2
1013,0
1014,2
1015,1
1016,3
1017,2
1018,1
1019,3
1020,2
1021,4
1022,0
1023,4
1024,2
1025,1
1026,1
1027,0
1028,2
1029,3
1030,3
1031,1
1032,1
1033,4
1034,0
1035,1
1036,3
1037,1
1038,2
1039,3
1040,0
1041,2
1042,1
1043,2
1044,3
1045,2
1046,0
1047,3
1048,1
1049,1
1050,0
1051,3
1052,1
1053,2
1054,4
1055,2
1056,3
1057,3
1058,4
1059,4
1060,2
1061,2
1062,1
1063,1
1064,4
1065,2
1066,0
1067,1
1068,2
1069,1
1070,3
1071,1
1072,2
1073,4
1074,1
1075,2
1076,2
1077,0
1078,2
1079,4
1080,4
1081,3
1082,1
1083,4
1084,3
1085,2
1086,0
1087,1
1088,4
1089,3
1090,4
1091,0
1092,3
1093,3
1094,2
1095,2
1096,2
1097,4
1098,0
1099,3
1100,2
1101,0
1102,4
1103,4
1104,0
1105,1
1106,3
1107,0
1108,0
1109,3
1110,0
1111,4
1112,0
1113,1
1114,3
1115,4
1116,1
1117,3
1118,2
1119,1
1120,4
1121,3
1122,1
1123,4
1124,1
1125,0
1126,3
1127,1
1128,3
1129,0
1130,1
1131,3
1132,0
1133,3
1134,1
1135,0
1136,0
1137,4
1138,0
1139,2
1140,1
1141,3
1142,2
1143,0
1144,3
1145,1
1146,1
1147,3
1148,0
1149,0
1150,1
1151,3
1152,4
1153,2
1154,1
1155,1
1156,0
1157,1
1158,0
1159,1
1160,4
1161,2
1162,2
1163,4
1164,3
1165,3
1166,2
1167,2
1168,1
1169,1
1170,3
1171,2
1172,1
1173,1
1174,2
1175,2
1176,2
1177,2
1178,1
1179,4
1180,1
1181,2
1182,3
1183,4
1184,2
1185,4
1186,0
1187,3
1188,0
1189,2
1190,3
1191,4
1192,0
1193,1
1194,3
1195,2
1196,1
1197,3
1198,0
1199,4
1200,4
1201,1
1202,4
1203,4
1204,0
1205,2
1206,0
1207,3
1208,4
1209,1
1210,2
1211,2
1212,0
1213,3
1214,2
1215,4
1216,2
1217,4
1218,3
1219,4
1220,2
1221,0
1222,2
1223,4
1224,4
1225,2
1226,1
1227,4
1228,0
1229,3
1230,0
