,0
0,2
1,2
2,2
3,1
4,1
5,1
6,1
7,1
8,2
9,1
10,1
11,2
12,1
13,1
14,2
15,2
16,1
17,1
18,1
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,1
29,1
30,1
31,2
32,1
33,2
34,1
35,2
36,1
37,2
38,1
39,2
40,2
41,1
42,2
43,1
44,1
45,2
46,2
47,2
48,1
49,2
50,1
51,1
52,2
53,2
54,2
55,1
56,2
57,2
58,1
59,2
60,2
61,2
62,2
63,1
64,2
65,1
66,1
67,2
68,1
69,1
70,1
71,1
72,1
73,2
74,2
75,2
76,1
77,2
78,1
79,1
80,2
81,1
82,1
83,2
84,1
85,2
86,1
87,1
88,2
89,2
90,1
91,2
92,1
93,2
94,1
95,2
96,2
97,2
98,2
99,2
100,2
101,2
102,1
103,1
104,2
105,2
106,1
107,2
108,1
109,1
110,1
111,1
112,2
113,2
114,2
115,1
116,2
117,1
118,2
119,2
120,1
121,2
122,1
123,1
124,2
125,1
126,1
127,1
128,1
129,2
130,1
131,1
132,2
133,2
134,1
135,1
136,2
137,2
138,1
139,1
140,1
141,1
142,2
143,1
144,2
145,2
146,2
147,2
148,2
149,1
150,2
151,1
152,2
153,2
154,1
155,2
156,1
157,2
158,2
159,2
160,2
161,2
162,1
163,1
164,2
165,1
166,2
167,1
168,2
169,1
170,2
171,2
172,1
173,2
174,1
175,2
176,2
177,2
178,2
179,2
180,2
181,1
182,1
183,1
184,1
185,2
186,1
187,2
188,1
189,1
190,2
191,1
192,1
193,1
194,2
195,1
196,2
197,1
198,1
199,2
200,2
201,2
202,1
203,2
204,2
205,1
206,2
207,1
208,1
209,1
210,1
211,2
212,1
213,1
214,2
215,1
216,2
217,2
218,2
219,1
220,1
221,2
222,2
223,2
224,1
225,2
226,2
227,2
228,1
229,2
230,2
231,2
232,1
233,1
234,2
235,1
236,2
237,1
238,2
239,2
240,2
241,2
242,1
243,2
244,1
245,1
246,1
247,1
248,2
249,1
250,1
251,2
252,2
253,1
254,1
255,2
256,1
257,2
258,2
259,1
260,1
261,1
262,2
263,1
264,2
265,2
266,1
267,1
268,2
269,2
270,2
271,2
272,1
273,1
274,1
275,1
276,1
277,2
278,1
279,2
280,1
281,1
282,2
283,1
284,2
285,1
286,1
287,2
288,2
289,2
290,2
291,2
292,2
293,1
294,1
295,1
296,1
297,2
298,1
299,2
300,1
301,2
302,1
303,1
304,1
305,1
306,1
307,2
308,2
309,1
310,1
311,2
312,1
313,2
314,2
315,2
316,1
317,1
318,1
319,1
320,1
321,1
322,2
323,1
324,2
325,2
326,1
327,2
328,2
329,1
330,2
331,2
332,1
333,1
334,2
335,1
336,2
337,1
338,2
339,2
340,1
341,1
342,2
343,1
344,2
345,1
346,1
347,2
348,1
349,1
350,2
351,2
352,2
353,2
354,2
355,1
356,2
357,1
358,2
359,1
360,1
361,1
362,2
363,2
364,1
365,1
366,2
367,2
368,2
369,1
370,1
371,1
372,2
373,2
374,2
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,2
385,2
386,2
387,2
388,1
389,1
390,1
391,2
392,2
393,2
394,1
395,1
396,2
397,1
398,1
399,1
400,2
401,1
402,1
403,2
404,1
405,2
406,2
407,2
408,1
409,2
410,2
411,1
412,2
413,2
414,2
415,2
416,1
417,2
418,1
419,1
420,2
421,1
422,2
423,1
424,1
425,1
426,2
427,2
428,1
429,1
430,2
431,2
432,2
433,2
434,1
435,1
436,2
437,2
438,2
439,1
440,1
441,2
442,2
443,1
444,2
445,1
446,2
447,2
448,1
449,2
450,1
451,1
452,2
453,1
454,1
455,1
456,1
457,1
458,1
459,2
460,2
461,1
462,1
463,1
464,2
465,1
466,1
467,1
468,1
469,2
470,1
471,1
472,2
473,1
474,2
475,1
476,2
477,2
478,2
479,2
480,2
481,2
482,2
483,1
484,2
485,2
486,2
487,2
488,1
489,2
490,2
491,1
492,2
493,2
494,2
495,1
496,2
497,1
498,2
499,1
