,0
0,3
1,1
2,1
3,0
4,2
5,1
6,3
7,0
8,3
9,1
10,2
11,3
12,3
13,2
14,2
15,2
16,3
17,2
18,3
19,2
20,3
21,0
22,0
23,0
24,1
25,3
26,3
27,0
28,3
29,2
30,0
31,3
32,3
33,1
34,1
35,3
36,3
37,0
38,2
39,1
40,2
41,2
42,2
43,0
44,3
45,1
46,0
47,0
48,3
49,3
50,0
51,1
52,1
53,1
54,3
55,2
56,1
57,1
58,3
59,3
60,3
61,3
62,3
63,3
64,0
65,2
66,0
67,3
68,1
69,3
70,2
71,3
72,3
73,3
74,0
75,0
76,2
77,0
78,0
79,0
80,2
81,2
82,0
83,1
84,3
85,1
86,2
87,1
88,1
89,3
90,1
91,3
92,0
93,3
94,1
95,0
96,2
97,3
98,2
99,2
100,1
101,0
102,3
103,0
104,0
105,2
106,0
107,1
108,0
109,3
110,1
111,1
112,0
113,0
114,1
115,0
116,1
117,1
118,0
119,2
120,1
121,3
122,1
123,1
124,3
125,0
126,3
127,3
128,3
129,2
130,0
131,0
132,0
133,1
134,3
135,1
136,1
137,1
138,2
139,2
140,0
141,1
142,3
143,1
144,2
145,2
146,1
147,2
148,0
149,0
150,1
151,3
152,0
153,2
154,0
155,2
156,2
157,2
158,1
159,0
160,2
161,1
162,3
163,3
164,0
165,0
166,1
167,3
168,0
169,1
170,1
171,1
172,1
173,3
174,3
175,2
176,1
177,1
178,2
179,2
180,3
181,1
182,3
183,2
184,0
185,0
186,3
187,1
188,2
189,0
190,1
191,0
192,1
193,3
194,1
195,1
196,2
197,2
198,1
199,3
200,2
201,2
202,3
203,3
204,0
205,1
206,0
207,2
208,3
209,2
210,3
211,3
212,3
213,2
214,1
215,0
216,3
217,1
218,2
219,0
220,3
221,0
222,1
223,0
224,3
225,3
226,3
227,1
228,3
229,3
230,2
231,3
232,2
233,0
234,1
235,1
236,3
237,3
238,1
239,1
240,3
241,1
242,1
243,0
244,0
245,0
246,0
247,2
248,3
249,3
250,0
251,0
252,2
253,1
254,1
255,2
256,0
257,2
258,0
259,3
260,3
261,2
262,3
263,2
264,2
265,3
266,3
267,2
268,3
269,0
270,3
271,2
272,1
273,3
274,2
275,2
276,0
277,3
278,2
279,1
280,2
281,3
282,3
283,2
284,1
285,2
286,3
287,0
288,3
289,2
290,1
291,0
292,3
293,2
294,1
295,0
296,0
297,3
298,0
299,3
300,1
301,3
302,1
303,2
304,3
305,0
306,0
307,0
308,0
309,0
310,0
311,1
312,3
313,0
314,3
315,0
316,3
317,0
318,1
319,1
320,1
321,2
322,1
323,0
324,0
325,1
326,3
327,2
328,1
329,0
330,0
331,2
332,0
333,3
334,0
335,0
336,0
337,3
338,0
339,0
340,0
341,1
342,2
343,2
344,2
345,3
346,0
347,3
348,0
349,3
350,2
351,3
352,0
353,1
354,2
355,1
356,0
357,1
358,3
359,2
360,0
361,3
362,0
363,3
364,3
365,2
366,3
367,2
368,1
369,2
370,2
371,1
372,1
373,1
374,2
375,3
376,3
377,1
378,3
379,1
380,1
381,0
382,2
383,1
384,0
385,1
386,3
387,0
388,1
389,2
390,2
391,0
392,3
393,2
394,2
395,2
396,0
397,1
398,1
399,0
400,1
401,3
402,3
403,2
404,0
405,3
406,1
407,1
408,1
409,0
410,3
411,1
412,1
413,3
414,2
415,2
416,1
417,0
418,1
419,2
420,1
421,2
422,0
423,2
424,0
425,2
426,2
427,2
428,2
429,0
430,1
431,3
432,0
433,2
434,2
435,2
436,2
437,1
438,3
439,2
440,2
441,1
442,1
443,3
444,0
445,0
446,2
447,1
448,3
449,2
450,0
451,0
452,3
453,0
454,1
455,0
456,3
457,2
458,2
459,1
460,2
461,3
462,1
463,2
464,1
465,3
466,2
467,0
468,1
469,0
470,3
471,3
472,2
473,0
474,1
475,1
476,0
477,1
478,1
479,1
480,2
481,1
482,0
483,3
484,3
485,2
486,3
487,2
488,3
489,1
490,3
491,1
492,3
493,1
494,1
495,1
496,0
497,0
498,3
499,0
